A305	EZE,DORVO
A306	UGIMI,PTA,EZE
A310	DARKA,ROPIS,MDP
A314	PAPIX,EZE
A428	ARPAS,FSA,DIGET,SIS,BURSA,DAMIS,KILIP,TODES,IMBAK,DALAB,GUA
A430	COATI,POS
B432	ECA,SULSU,MUNER
B555	PAR,OPUPO,GUA
B556	NEU,SAKSA,GUARE,TESEX
B560	JUA,UKESO,EDRAR,MIBAS
B561	GRA,TOGOR
B682	TONAR,BAR
B684	ANKON,MLG,MAGDO,SOTLA,LOLAS,GPI
B687	SIS,LUTSO,REPAM,POS,UGAKO,DOKBA,ALDOS,IGU
G680	ROS,TINTA,GUA
L405	DOZ,UMKAL
L775	ESQ,UKEKA,PABAL
M424	ALBAL,KOTNI,BOBAP,SINAL,EDNAP,LOGAM,PABAS,ASADA,EZE
M789	KALOM,VINOS,KOVAT,MIMEX,JUJ
N650	UGVAX,MOXAT,JUJ,SAL
N674	ECA,SULSU,MUNER
P526	GEMSU,BITUS,REPAM
R683	NEU,UGAGI,ETIBU,EPGOL,KAMUR
T105	CRV,ISKES,PUBLO,ELADA,PAKAL,TOMIV,SEMGA,NIGBU,EKOPA,SIMOT,ILTOS,NEU
T108	GUDUX,GRA,DABLI
T654	EZE,GEBEM,TORUL,SIKAR,BIXIM,KIKIN,ARVOV,SIMOT,KOMVI,ORERA,BAR
T655	NEU,NIDBA,ISMIL,ENRIL,PABEV,EGOVI,ASADA
T657	ESQ,OPROS,TOMIV,POTRO,KIMID,BCA
T658	ESQ,BIVIK,DAKAX,MIKIM,ILKOR,BOKUK,ORABO
T659	BISOG,GEGAL,ECA,OGTUR,DALDU,ASADO,DAKAX
T661	OSA,AKPUR,ENRIL,KIKIN,EGOKO,PULKA,VAKAP,POTRO,ORAMU,TRE
T662	ASKAS,UTNOS,GRA
T669	PONVA,TIMDO,ROPON,NEU
T672	ERE,ISOPO,VUKSO,ROS
T673	JUJ,TAGUA,ASODO
T693	BCA,SANBU,LOMUS,ILPOT,TRE,OPSIR,SIPOB
T704	ASKAS,ASGEN,DABLI
UL211	PTA,ESLAN,GATOS,PAGAD,REKUL,GUXOR,ANKOK,KILOS,KAKIN,KETIS,MORSI,MUNES
UL322	GAXOK,ESOKA,SAL,EDLUM,ALGAR,MUMUK,BUSLO,ROLIM,EGIKA,ILSUR,ASIMO
UL404	PUPON,GEMIK,QUILI,ESLED,TOPOG,EDPUN,TOLEM,PABEN,ISOPO
UL405	UGIMI,ESLAN,PTA,EZE,URINO,NIN,NUXIM,ARMUP,LYE,MUMSA,TOSOR,POPLU,RYD,GEDUN,EDRIS,USVET,PAPIR,DOZ,UMKAL
UL416	JUA,REPEV,ILSUR,MIBAS
UL417	GUA,ANRAL,PAR,SINUT,VUSDI,EDSUB,TOPOG,PUPSI,UBRIX,IMBER,PUBUM
UL531	NEBEG,ESITO,DOZ,NIRTA,SALBO,SOLER,KOPSI,ALDEX,CBA,OSUDA,TREJO,PULOV,ERE,SARNA,KUGLO,ESMOS,SIS,BOBIK
UL550	KONRI,ALGAR,DILAL,TUC,PUBER,DIKOR,SISAP,UMKEV,PORKA,PULOV,OPTIR,REPUM,DOPRI,ROKER,ROS
UL650	CAT,BUSLO,GEKAL
UL653	NEU,TESEX
UL793	GUA,DALAB,IMBAK,TODES,KILIP,DAMIS,BURSA,SIS,MADSA,AKPEL,KUBIR
UM400	ARULA,PAMEX,PULEN,SOTSA,KILIP,SIKOB,VUSDI,TOLEM,ROMUR,OPTIR,GEMOP,CBA
UM402	SIMOR,TIGDI,BOKIL,KIMIK
UM418	CBA,MAVBI,EVTAM,DOPRI,UMSAR,AMVIB,IMBAK,ATIPI,RODOV
UM424	ALBAL,KOTNI,BOBAP,ETALU,ISELU,SINAL,IREXA,EDNAP,ESNIM,LOGAM,PABAS,ASADA,EZE,DORVO
UM532	KILAV,OPGUT
UM534	ROS,ANRAL,DALAB,SUGRA
UM543	CBA,SIBOL,POVNA,LITOR,CAT,MUMUK,ARMOS
UM654	EZE,KUKEN
UM657	DOKBA,ESUKA
UM658	TONAR,BAR
UM776	UBSAS,USTOT,NAXET,JUJ
UM783	ANKON,MLG,USVER,SILOP,LOLAS,GPI
UM784	PILCO,GETRA,DOPLU,UMSUV,SIS
UM792	DARKA,ROPIS,MDP
UM799	AKNEL,GETRA,VINOS,QUILI,UBRIX,GAVEX,MUDUL,PUBER,CAT,KAKAN,LAR,SIBOX,REPEV,ASIMO
UN527	GUVOL,JUA
UN674	ECA,MUNER
UN741	PAPIX,EZE
UN775	BIVAM,URETI,AMVIB,OPNIN,DANRU,KUGLO,SEBDA,SOVLI,KORSO,MAMKA,ISLOB,PILCO
UN785	EZE,LANDA,GUA,PADAS,KORTA,GEMSU,BOKIL,POS
UN857	EZE,PTA,DORVO
UP526	REPAM,BITUS,PULEN,GEMSU
UP779	SIS,LUTSO,REPAM,POS,DOKBA,ALDOS,IGU
UT105	CRV,ISKES,PUBLO,ELADA,PAKAL,TOMIV,SEMGA,NIGBU,EKOPA,SIMOT,NEU
UT106	TRE,VUNSO,DAKSA,OTADO,DEXAL,NEU
UT108	VIE,UDENA,PADIM,AKVAD,DAGOK,KOTON,GUDUX,GRA
UT109	VIE,KAMAD,BITUT,ORIKA,SJU,IRAVU
UT110	OGTUR,MOTNO,TOPAG,USTOX,PUBLO,VUVPU,VUNSO,POTRO
UT652	ALBAL,ESITO,USVET,SIPOM,MUBLU,SRC,VUROT,GENAS,EVTAM,REPUM,PABEN,SIKOB
UT653	ROS,MJZ,KOSNO,VURAK,KOPSI,PAMAL,JUA
UT654	EZE,GEBEM,TORUL,SIKAR,VUSAP,BIXIM,KIKIN,ARVOV,SIMOT,KOMVI,ORERA,BAR
UT655	NEU,ISMIL,ENRIL,MILAX,EGOVI,ASADA
UT657	ESQ,TOMIV,DAKSA,POTRO,KIMID,BCA
UT658	ESQ,DAKAX,MIKIM,TOPAG,BOKUK,ORABO
