SAAR	02/20	3.001x45	CONC / ASPH	PCR 1.230/R/C/W/T CONC · 983/F/C/X/T ASPH
SABE	13/31	2.350x45	CONC	PCR 1170/R/C/W/T
SACO	01/19	3.200x45	CONC	PCR 680/R/B/W/T
SACO	05/23	2.200x45	ASPH	PCR 395/F/A/X/T
SADF	05/23	1.690x30	ASPH	PCN 18 F/C/X/U · DTHR 23 275 m por OBST
SADP	17/35	2.110x45	CONC	AUW 55t/1 83t/2 125t/4 270t/8
SAEZ	11/29	3.300x60	ASPH / CONC	PCN 82/R/B/W/T ASPH · 92/F/C/W/T CONC
SAEZ	17/35	3.105x45	ASPH / CONC	PCN 70 R/B/W/T ASPH · 74/F/B/W/T CONC
SAZM	13/31	2.200x45	Rígido / Flexible	PCR 450/R/B/W/T rígido · 350/F/BF/X/T flexible
SAZS	11/29	2.348x48	ASPH sobre base CONC	PCR 720/R/A/W/T
