SAAC	12 km N de la ciudad de Concordia	AVGAS 100LL, JET A-1
SAAG	8 km al W de la ciudad de Gualeguaychú	
SAAP	7.5 km al SE de la ciudad de Paraná	AVGAS 100LL, JET A-1
SAAR	13 km al WNW de la ciudad de Rosario	AVGAS 100LL, JET A-1
SAAV	8 km al NNE de la ciudad de Sauce Viejo	AVGAS 100LL, JET A-1
SABE	2 km al NE del centro de la Ciudad Autónoma de Buenos Aires	JET A-1
SACO	9 km al NNW de la ciudad de Córdoba	AVGAS 100LL, JET A-1
SADF	2 km al SW de la ciudad de San Fernando	AVGAS 100LL, JET A-1
SADJ	7 km al S de la localidad de José C. Paz	JET A-1
SADM	3 km al SW de la ciudad de Morón	AVGAS 100LL, JET A-1
SADP	0.5 km al W de la ciudad de El Palomar	AVGAS 100LL, JET A-1
SAEZ	22 km al SSW de la Ciudad Autónoma de Buenos Aires	JET A-1
SAME	8 km al NE de la ciudad de Mendoza	AVGAS 100LL, JET A-1
SAMM	1 km al S de la ciudad de Malargüe	JET A-1
SAMR	8 km al NW de la ciudad de San Rafael	JET A-1
SANC	15 km al SSE de San Fernando del Valle de Catamarca	AVGAS 100LL, JET A-1
SANE	6 km al NNW de la ciudad de Santiago del Estero	AVGAS 100LL, JET A-1
SANL	7 km al NE de la ciudad de La Rioja	JET A-1
SANR	7.5 km al W de la ciudad de Termas de Río Hondo	AVGAS 100LL, JET A1
SANT	12 km al E de la ciudad de San Miguel de Tucumán	AVGAS 100LL, JET A-1
SANU	12 km al SE de la ciudad de San Juan	AVGAS 100LL, JET A-1
SAOC	8 km al NE de la ciudad de Río Cuarto	AVGAS 100LL, JET A-1
SAOR	9 km al SE de la ciudad de Mercedes	AVGAS 100LL, JET A-1
SAOS	4.5 km al SSE de la ciudad de Santa Rosa de Conlara	AVGAS 100LL, JET A1
SAOU	3.8 km al NW de la ciudad de San Luis	JET A-1
SARC	7,5 km al E de la ciudad de Corrientes	AVGAS 100LL, JET A-1
SARE	5 km al SW de la ciudad de Resistencia	AVGAS 100LL, JET A-1
SARF	7 km al S de la ciudad de Formosa	AVGAS 100LL, JET A-1
SARI	18 km al SE de la ciudad de Puerto Iguazú/	AVGAS 100LL, JET A-1
SARL	6 km al WNW de la ciudad de Paso de Los Libres	
SARP	7.5 km al NW de la ciudad de Posadas	AVGAS 100LL, JET A-1
SASA	10 km al SW de la ciudad de Salta	JET A
SASJ	33 km al SE de la ciudad de Jujuy	JET A-1
SATR	7 km al SSW de la ciudad de Reconquista	AVGAS 100LL, JET A-1
SAVC	11 km al N de la ciudad de Comodoro Rivadavia	AVGAS 100LL, JET A-1
SAVE	12 km al ESE de la ciudad de Esquel/	AVGAS 100LL, JET A-1
SAVT	6,5 km al NNE de la ciudad de Trelew	AVGAS 100LL, JET A-1
SAVV	6 km al S de la ciudad de Viedma	AVGAS 100LL, JET A-1
SAVY	5.3 km al WNW de la ciudad de Puerto Madryn	JET A-1
SAWB	Isla Marambio, Mar de Weddell, Sect. Antártico Argentino	
SAWC	16,6 km al ENE de la ciudad de El Calafate	AVGAS 100LL, JET A-1
SAWE	9 km al NW de la ciudad de Río Grande	AVGAS 100LL, JET A-1
SAWG	4.5 km al WSW de la ciudad de Río Gallegos	AVGAS 100LL, JET A-1
SAWH	4 km al S de la ciudad de Ushuaia	JET A-1
SAZB	10 km al E de la ciudad de Bahía Blanca	AVGAS 100LL, JET A-1
SAZM	7 km al N de la ciudad de Mar del Plata	AVGAS 100LL, JET A-1
SAZN	8 km al WNW de la ciudad de Neuquén	AVGAS 100LL, JET A-1
SAZR	4.54.5 km al NNE de la ciudad de Santa Rosa/ 4	AVGAS 100LL, JET A-1
SAZS	13 km al E de la ciudad de San Carlos de Bariloche	AVGAS 100LL, JET A-1
SAZT	13 km al NW de la ciudad de Tandil/	
SAZY	25 KM ENE de la ciudad de San Martín de los Andes	JET A-1
