AAXX	Aeródromo de Punto Rothera	Rothera Point	AQ	S			-67.5669	-68.127
AGAF	Afutara Aerodrome	Bila	SB	S	AFT	23	-9.1914	160.9486
AGAR	Ulawa Airport	Arona	SB	S	RNA	40	-9.8605	161.9795
AGAT	Uru Harbour Airport	Atoifi	SB	S	ATD		-8.8733	161.011
AGBA	Barakoma Airport	Barakoma	SB	S	VEV		-7.9128	156.706
AGBT	Batuna Aerodrome	Batuna Mission Station	SB	S	BPF	24	-8.562	158.1193
AGEV	Geva Airport	Liangia	SB	S	GEF		-7.5758	156.597
AGGA	Gwaunaru'u Airport	Auki	SB	S	AKS	5	-8.7026	160.682
AGGB	Bellona/Anua Airport	Anua	SB	S	BNY	60	-11.3022	159.7983
AGGC	Choiseul Bay Airport	Choiseul Bay	SB	S	CHY		-6.7119	156.3961
AGGE	Ballalae Airport	Ballalae	SB	S	BAS	5	-6.9907	155.8867
AGGF	Fera/Maringe Airport	Fera Island	SB	S	FRE	9	-8.1075	159.577
AGGH	Honiara International Airport	Honiara	SB	L	HIR	28	-9.428	160.055
AGGI	Babanakira Airport	Mbambanakira	SB	S	MBU		-9.7475	159.839
AGGJ	Avu Avu Airport	Avu Avu	SB	S	AVU	25	-9.8683	160.4106
AGGK	Ngorangora Airport	Kirakira	SB	S	IRA	54	-10.4497	161.898
AGGL	Santa Cruz/Graciosa Bay/Luova Airport	Santa Cruz/Graciosa Bay/Luova	SB	S	SCZ	18	-10.7203	165.795
AGGM	Munda Airport	Munda	SB	M	MUA	10	-8.328	157.263
AGGN	Nusatupe Airport	Gizo	SB	S	GZO	13	-8.0978	156.864
AGGO	Mono Airport	Stirling Island	SB	S	MNY	35	-7.4169	155.565
AGGP	Parasi Airport	Parasi	SB	S	PRS		-9.6417	161.425
AGGR	Rennell/Tingoa Airport	Rennell Island	SB	S	RNL	550	-11.55	160.0628
AGGS	Sege Airport	Sege	SB	S	EGM		-8.5789	157.876
AGGT	Santa Ana Airport	Santa Ana Island	SB	S	NNB	3	-10.848	162.4541
AGGU	Marau Airport	Marau	SB	S	RUS	3	-9.8617	160.825
AGGV	Suavanao Airport	Suavanao	SB	S	VAO	20	-7.5856	158.731
AGGY	Yandina Airport	Yandina	SB	S	XYA	60	-9.0928	159.2184
AGKG	Kaghau Airport	Kagau Island	SB	S	KGE	30	-7.3305	157.585
AGKU	Kukudu Airport	Kolombangara Island	SB	S	KUE	32	-8.0262	156.9478
AGKW	Kwailabesi Airport	Kwailabesi	SB	S	KWS	52	-8.3605	160.7751
AGLM	Lomlom Airport	Lomlom	SB	S	LLM	55	-10.2968	166.3273
AGNA	Nana Airport	Star Harbor	SB	S	NAZ	60	-10.6758	162.2049
AGOB	Manaoba Airport	Manaoba	SB	S	MHM	14	-8.325	160.8005
AGOK	Gatokae Aerodrome	Gatokae	SB	S	GTA	70	-8.7384	158.2028
AGRC	Ringi Cove Airport	Ringi Cove	SB	S	RIN		-8.1264	157.143
AGRM	Ramata Airport	Ramata	SB	S	RBV		-8.1681	157.643
ANYN	Nauru International Airport	Yaren	NR	M	INU	22	-0.5479	166.9195
AQBC	Boulder Clay Runway	Zucchelli Station	AQ	M		672	-74.7394	164.0354
ATUA	(Duplicate) Utai Airstrip	Utai	PG	S		707	-3.386	141.5868
AYAA	Ama Airport		PG	S	AMF	145	-4.1011	141.67
AYAE	Mount Aue Airport	Aue	PG	S	UAE	4250	-6.23	144.6642
AYAF	Afore Airstrip	Afore	PG	S	AFR	2500	-9.1387	148.3907
AYAG	Agaun Airport	Agaun	PG	S	AUP	3200	-9.9277	149.39
AYAI	Aitape Airport	Aitape	PG	S	ATP	10	-3.1436	142.3468
AYAK	Aiambak Airport	Aiambak	PG	S	AIH	90	-7.3428	141.2675
AYAM	Amanab Airport	Amanab	PG	S	AMU	1307	-3.586	141.2143
AYAN	Andakombe Airport	Andekombe	PG	S	ADC	3600	-7.1372	145.7447
AYAO	Aiome Airport	Aiome	PG	S	AIE	350	-5.1457	144.7307
AYAQ	Kompiam Airport		PG	S	KPM	5100	-5.3817	143.9247
AYAT	Ambunti Airport	Ambunti	PG	S	AUJ	50	-4.2157	142.8232
AYAU	Arou Airstrip	Arou	PG	S		4830	-5.4951	142.5137
AYAW	Awaba Airport	Awaba	PG	S	AWB	32	-8.0134	142.7521
AYAX	Aseki Airport	Aseki	PG	S	AEK	4106	-7.3508	146.194
AYAY	Aiyura Airport	Aiyura Valley	PG	S	AYU	5355	-6.3381	145.9042
AYBA	Baimuru Airport	Baimuru	PG	M	VMU	27	-7.497	144.8218
AYBB	Bak Airstrip	Bak	PG	S		5440	-5.2685	142.097
AYBC	Bambu Airport	Bambu	PG	S	BCP	6790	-5.8636	146.4925
AYBD	Bodinumu Airport	Bodinumu	PG	S	BNM	3700	-9.1078	147.6667
AYBF	Bamu Airport	Bamu	PG	S	BMZ	50	-7.8485	143.2433
AYBG	Baindoung Airport		PG	S	BDZ	4400	-6.3472	146.9422
AYBH	Bensbach Airport	Bensbach	PG	S	BSP	30	-8.8581	141.2594
AYBI	Bewani Airport	Bewani	PG	S	BWP	550	-3.0217	141.1653
AYBK	Buka Airport	Buka Island	PG	M	BUA	11	-5.4223	154.6727
AYBL	Bialla Airport	Bialla, Matalilu, Ewase	PG	S	BAA	51	-5.3306	151.008
AYBM	Balimo Airport	Balimo	PG	M	OPU	51	-8.05	142.933
AYBO	Bomai Airport	Bomai	PG	S	BMH	3300	-6.3732	144.637
AYBP	Bapi Airstrip	Bapi	PG	S	BPD	2930	-7.7436	147.0206
AYBQ	Biangabip Airport	Biangabip	PG	S	BPK	1069	-5.5264	141.7446
AYBR	Biaru Airport	Biaru	PG	S	BRP	4900	-7.6693	146.7594
AYBS	Begesin Airstrip	Begesin	PG	S		980	-5.3882	145.4474
AYBT	Batri Airstrip	Batri	PG	S		4510	-6.5519	143.9439
AYBU	Bulolo Airport	Bulolo	PG	S	BUL	2240	-7.2163	146.6495
AYBW	Blackwara Airport		PG	S		58	-2.6182	141.092
AYBX	Wowobo Airstrip	Wowobo	PG	S		74	-7.3405	144.5477
AYBY	Wuyabo Airstrip	Wuyabo	PG	S		6400	-6.8385	145.8732
AYBZ	Biniguni Airport	Biniguni	PG	S	XBN	215	-9.6425	149.3039
AYCB	Chungribu Airport	Chungribu	PG	S	CVB	108	-4.8066	144.715
AYCG	Cape Gloucester Airport	Cape Gloucester	PG	S	CGC	78	-5.4552	148.4223
AYCH	Chimbu Airport	Kundiawa	PG	M	CMU	4974	-6.0243	144.971
AYCN	Changriwa Airstrip	Changriwa	PG	S		100	-4.3287	143.7406
AYCS	China Strait Airstrip	Samarai Island	PG	S	SQT	10	-10.5628	150.6907
AYDB	Debepare Airport	Debepare	PG	S	DBP	360	-6.3086	141.9056
AYDD	Dobu Airstrip	Dobu	PG	S		3115	-6.6305	144.6383
AYDE	Derim Airport	Derim	PG	S	DER	4850	-6.1447	147.1072
AYDI	Bundi Airport	Bundi	PG	S	BNT	4400	-5.7422	145.2275
AYDK	Munduku Airport	Munduku	PG	S	MDM	100	-4.6204	143.4516
AYDL	Kondobol Airport	Kondobol	PG	S	KPF	132	-8.5336	142.5049
AYDN	Dinangat Airport	Dinangat	PG	S	DNU	5309	-6.1546	146.6772
AYDO	Doini Airport	Castori Islets	PG	S	DOI	31	-10.7009	150.7218
AYDP	Tsendiap Airstrip	Tsendiap	PG	S		1565	-5.3599	144.4462
AYDQ	Dimisisi Airstrip	Dimisisi	PG	S		166	-8.6298	142.2162
AYDR	Dorobisoro Airport	Dorobisoro	PG	S	DOO	1767	-9.4619	147.9209
AYDS	Dusin Airport	Dusin	PG	S		6300	-5.1839	144.4122
AYDU	Daru Airport	Daru	PG	M	DAU	20	-9.0868	143.208
AYDW	Dewara Airstrip	Dewara	PG	S		25	-8.3802	142.4475
AYDY	Sindeni Airstrip	Sindeni	PG	S		5710	-7.0077	145.7965
AYEA	Kerau Airport	Gunim	PG	S	KRU	7360	-8.2716	147.0719
AYEB	Embessa Airport	Embessa	PG	S	EMS	131	-9.447	148.7628
AYED	Edwaki Airport	Yellow River Mission	PG	S	XYR	190	-3.884	141.7922
AYEE	Emirau Airport	Emirau Island	PG	S	EMI	172	-1.6539	149.9758
AYEF	Efogi Airport	Efogi	PG	S	EFG	3900	-9.1538	147.6598
AYEG	Mengina Airstrip	Mengina	PG	S		4224	-6.4836	144.986
AYEH	Morehead Airport	Morehead	PG	S	MHY	100	-8.7141	141.6444
AYEI	Milei Airstrip	Milei	PG	S		2160	-9.0794	147.602
AYEK	Membok Airstrip	Membok	PG	S		54	-6.4744	141.019
AYEL	Eliptamin Airport	Eliptamin	PG	S	EPT	4825	-5.0412	141.6779
AYEM	Eleme Airstrip	Eleme	PG	S		233	-4.814	143.9106
AYEN	Engati Airstrip	Engati	PG	S	EGA	3715	-6.9179	146.1053
AYEO	Emo River Airstrip	Emo Mission	PG	S	EMO	2240	-9.1234	148.0415
AYER	Erume Airport	Erume	PG	S	ERU	6690	-8.2538	146.9747
AYES	Meselia Airport	Demgulu	PG	S	MFZ	180	-6.1364	149.1183
AYET	Bosset Airport	Bosset	PG	S	BOT	80	-7.2373	141.1063
AYEU	Eloaua Airstrip	Eloaua Island	PG	S		25	-1.5603	149.6304
AYEV	Erave Airport	Erave	PG	S	ERE	3650	-6.6065	143.9002
AYEW	Siwea Airport	Siwea	PG	S	SWE	5960	-6.2842	147.5824
AYEY	Mirsey Airstrip	Mirsey	PG	S		107	-4.0621	142.6609
AYEZ	Moropote Airstrip	Moropote	PG	S		149	-4.5871	142.3357
AYFA	Fane Airport	Fane Mission	PG	S	FNE	4500	-8.5493	147.0858
AYFE	Feramin Airport	Feramin	PG	S	FRQ	4655	-5.208	141.6988
AYFF	Faia Airport		PG	S		80	-7.1604	143.5313
AYFI	Finschhafen Airport	Buki	PG	S	FIN	60	-6.6218	147.8541
AYFK	Foroko Airstrip	Foroko	PG	S		412	-5.3283	144.8944
AYFO	Fogomaiu Airstrip	Fogomaiu	PG	S		737	-6.5096	143.0794
AYFR	Frieda River Airport	Frieda River	PG	S	FAQ	217	-4.6105	141.9601
AYFS	Fas Airstrip	Fugari	PG	S		1219	-3.1983	141.472
AYFU	Fuma Airport	Fuma	PG	S	FUM	466	-6.3933	142.4408
AYFW	Kwieftim Airstrip	Kwieftim	PG	S		515	-3.6005	141.7674
AYGA	Goroka Airport	Goronka	PG	M	GKA	5282	-6.0817	145.392
AYGC	Gewoia Airport	Gewoia	PG	S	GEW	340	-9.2263	148.4949
AYGD	Gimi Airstrip	Amusa	PG	S		5096	-6.6482	145.4003
AYGE	Geigorobi Airstrip	Geigorobi	PG	S		74	-4.1055	143.3056
AYGF	Guari Airport	Guari	PG	S	GUG	6450	-8.1286	146.8722
AYGG	Garasa Airport	Au	PG	S	GRL	2539	-7.9807	147.2135
AYGH	Guhu Airstrip	Guhu	PG	S		3	-5.6957	146.1116
