AKNEL	-23.79889	-60.99556	UM799
AKNOS	-38.00139	-62.88444	W67-SID BCA-STAR BCA-TMA BCA
AKPEL	-25.03083	-59.69944	UM789-UL793-SID CRR SIS-STAR CRR SIS
AKPUR	-37.09333	-64.34083	T661-SID OSA-TMA OSA
AKRAS	-29.71778	-66.37083	W16
AKREN	-29.29222	-59.46222	IAC RTA
AKROG	-37.78444	-57.86694	STAR MDP-IAC MDP
AKSAS	-29.81750	-58.16083	UZ103-UT682
AKSIR	-25.05250	-65.54167	IAC SAL
AKVAD	-46.13361	-64.65750	UT108
AKVUP	-31.39250	-68.42000	IAC JUA
ALBAL	-34.18333	-69.81667	M424-UM424-UT652
ALDEX	-31.66028	-65.19639	A307-W23-Z104-UZ125-UL531-UT685-UZ105-SID CBA-STAR CBA
ALDOR	-33.49972	-63.91833	W19
ALDOS	-26.23056	-54.68889	B687-UP779-UL324-SID IGU-TMA FOZ
ALDUP	-41.01750	-62.75972	IAC VIE
ALGAR	-25.77500	-66.07722	UL322-UL550-SID TUC-STAR SAL-STAR TUC-STAR JUJ
ALGEL	-25.87000	-55.17056	A307-SID IGU-STAR IGU-TMA FOZ
ALGIL	-40.55806	-71.13861	W32-STAR BAR-SID BAR-TMA BAR-TMA CHP-STAR CHP-IAC CHP-SID
ALGUG	-40.17806	-71.47667	IAC CHP
ALOTE	-32.96528	-64.12250	IAC TRC
AMIAS	-28.28639	-65.67778	IAC CAT-STAR CAT
AMVIB	-31.02750	-59.90806	UN775-UM418
ANBAV	-25.38667	-54.59639	STAR IGU
ANBUK	-25.76306	-54.08778	SID IGU
ANDEG	-28.61583	-64.29167	W6-UW6-UZ112
ANDEX	-46.68694	-67.48000	W18-TMA CRV
ANDUD	-35.57722	-62.96361	UW68-UT688
ANDUS	-45.00389	-58.89139	UT103
ANGEM	-38.53306	-62.11500	IAC BCA-STAR BCA
ANGEN	-27.34556	-64.60444	UT680-W8-STAR TUC-SID SDE TUC-TMA SDE-TMA TUC
ANKAB	-24.96028	-65.09278	SID SAL
ANKOK	-38.24972	-51.00028	UL211F
ANKON	-35.20000	-70.50000	B684-Z122-UM783-UZ122-STAR MLG
ANLAG	-29.12806	-59.89722	IAC RTA
ANLIS	-33.53139	-67.35417	UT688-W71-STAR DOZ
ANPOT	-29.21194	-59.99194	IAC RTA
ANRAL	-32.53333	-59.36889	UL417-UM534
ANROR	-39.04556	-67.83222	STAR NEU
ANSIB	-51.62250	-69.60500	IAC GAL-STAR GAL
ANSIG	-28.25611	-64.83111	W5
ANSOT	-42.64944	-70.95778	IAC ESQ
ARMOS	-24.29167	-67.97917	UM543
ARMUP	-34.35444	-62.10833	UL405-UT705-W9-W72
AROPO	-45.90000	-71.23333	W58
ARPAS	-25.73167	-57.87528	A428-UM529-UZ124-TMA FSA
ARSOT	-34.76028	-58.89750	TMA BAIRES-IAC EZE-STAR AER EZE
ARTOK	-39.29833	-68.61722	W26-STAR NEU-TMA NEU
ARTUV	-27.81972	-64.34194	SID SDE
ARULA	-28.72833	-56.14278	UM400
ARUSO	-32.31583	-65.47056	W19
ARVAG	-53.77333	-67.59417	IAC GRA
ARVET	-37.42444	-68.24194	UW37-W37
ARVOV	-38.90667	-66.12194	T654-UT654-W32-UW32
ASADA	-35.02583	-59.62583	W68-UW68-M424-UM424-T655-UT655-STAR AER EZE-SID AER EZE
ASADO	-48.02694	-71.48167	T659-UT659-UL670
ASAPO	-37.04889	-59.31250	IAC DIL
ASBAN	-29.12500	-59.46417	IAC RTA
ASBEL	-24.52472	-65.01500	IAC JUJ
ASDEP	-38.84806	-68.38750	STAR NEU-IAC NEU
ASELO	-28.90472	-59.03528	W14-TMA RTA
ASGAS	-29.69861	-59.83056	W20-TMA RTA
ASGEN	-52.93611	-66.65472	T704-UT704
ASGIM	-42.50333	-64.85444	STAR TRE
ASIMO	-31.88333	-70.31667	UM799-UL322-UM529
ASISA	-31.66722	-63.21444	W5-UW5-STAR CBA-TMA CBA
ASKAS	-51.78833	-66.00111	W54-UW54-T662-UT662-UT704-T704
ASODO	-26.10778	-64.14500	UT672-T673-STAR JUJ
ASOLO	-33.32944	-67.78833	UT687-UT688
ASOPA	-49.61417	-71.29389	W48-UW48-UL670-STAR ECA-Z116-UZ116-TMA ECA
ASOTA	-31.14444	-68.10250	W3-SID JUA-STAR JUA-TMA JUA-Z119
ASUPI	-42.66472	-64.89806	IAC DRY
ASUTO	-42.93556	-70.42556	W40-TMA ESQ
ATAGU	-32.64417	-60.72583	SID ROS-IAC ROS-STAR ROS
ATAKO	-41.64694	-70.80361	W39-UW39-STAR BAR-SID BAR-TMA BAR
ATEXI	-50.30389	-72.45944	STAR ECA-IAC ECA
ATIPI	-30.89333	-58.37556	UM418-UZ103
ATIPO	-50.16611	-71.72389	STAR ECA-IAC ECA
ATIRA	-41.40361	-70.49639	W38-UW38- SID BAR-STAR BAR-TMA BAR
ATITO	-38.01444	-60.00417	UP664-W18-UW18-TMA DIL
ATOBI	-29.29500	-59.89611	IAC RTA
ATOKI	-52.73000	-62.23083	UW46-CTR MOUNT PLEASANT
ATOMO	-41.13361	-69.66417	W33-UW33
ATOSA	-29.20778	-59.36806	IAC RTA
ATOVO	-34.06111	-59.15056	W5-UW5-SID AER EZE-TMA BAIRES
BISOG	-51.61000	-72.22139	T659 UT659
BISUL	-43.52278	-53.00000	AORRA
BITAG	-31.33028	-68.41194	SID JUA
BITIS	-26.97222	-64.08944	W7-Z120-SID TUC-STAR TUC-TMA TUC
BITUS	-28.20111	-57.59028	UP526-W14-UW14-P526
BITUT	-45.00389	-65.16583	UT109
BIVAM	-33.97111	-58.94556	W8-UW8-UN775-SID AER EZE-TMA BAIRES
BIVID	-28.14472	-61.92250	UM529
BIVIK	-43.39361	-71.01306	T658-TMA ESQ
BIXAS	-29.20861	-59.46333	IAC RTA
BIXIM	-37.34722	-63.01611	T654-UT654-UW41-UT669
BIXOL	-27.18472	-58.94278	IAC SIS-STAR CRR SIS
BOBAP	-34.44500	-67.80250	M424-UM424-TMA SRA
BOBIK	-27.21222	-58.45611	A307-UL531-SID CRR SIS-STAR SIS CRR -TMA SIS
BOBIM	-43.11694	-64.93667	STAR TRE-IAC TRE
BODAG	-40.83611	-62.69389	IAC VIE
BODIR	-35.15361	-60.34861	W68-UW68
BODUN	-46.67000	-67.64361	UP664-TMA CRV-STAR CRV-SID CRV-W49
BOGEG	-37.37389	-57.71028	SID MDP
BOGOR	-41.16583	-59.02611	UT103
BOKAS	-36.97306	-59.19972	IAC DIL
BOKIL	-29.11361	-56.95611	UM402-UN785
BOKUK	-48.44639	-70.03611	W48-UW48-T658-UT658-STAR ECA-SID ECA
BOMAM	-26.60917	-65.03639	IAC TUC
BONTA	-55.00000	-66.83333	W56-UW56-Z133-UZ133
BRANC	-28.96056	-65.83972	IAC CAT-STAR CAT
BUPLA	-27.23167	-61.67028	W7-Z120-UZ120
BURSA	-28.36389	-58.98750	A428-UL793-Z110-STAR CRR SIS-TMA SIS
BUSBA	-29.21167	-59.89667	IAC RTA
BUSLO	-28.13833	-67.64861	UL322-UL650
BUTAR	-38.94750	-68.51667	IAC NEU-STAR NEU
BUTMO	-35.63139	-63.32778	UT705-UW68
BUVOK	-50.72889	-71.15889	UW52-W52-UL670-G550
BUXOP	-36.68028	-64.29833	IAC OSA
CABAL	-30.92167	-60.21222	W20-TMA PAR
CARAI	-27.18222	-64.74000	IAC TUC
CHATO	-40.57194	-71.01472	W44-UW44-UZ108-SID BAR-STAR BAR-TMA BAR
COATI	-27.17500	-56.13000	A430-TMA POS
COSTA	-25.51194	-55.23639	SID IGU-STAR IGU
DABLI	-54.50000	-67.66778	T108-T704-UT704-SID USU-STAR USU-TMA USU-TMA GRA
DABOT	-32.41750	-60.64972	W20-SID ROS-TMA ROS-TMA PAR
DABUL	-31.78111	-68.41222	SID JUA
DADEB	-30.38222	-65.48306	W16-UW16-Z121
DADMI	-28.83194	-62.56139	UT672-UT677
DADOB	-37.06361	-59.10500	IAC DIL
DAGIG	-27.84917	-64.35944	IAC SDE
DAGOK	-47.47167	-65.13361	UT108-W50-UW 50
DAGOL	-25.74944	-54.88833	SID IGU
DAGRA	-27.63472	-56.45806	W14-TMA POS
DAKAX	-44.79694	-70.75694	T658-UT658-UZ116-Z116
DAKSA	-41.03083	-66.79333	UT106-UT657
DALAB	-32.33333	-58.67083	A428-Z110-UL793-UM534-UZ103
DALDU	-48.87361	-71.74778	T659 UT659 UT110
DALMI	-37.74111	-57.73306	IAC MDP-STAR MDP
DALUX	-31.07806	-63.93083	STAR CBA-IAC CBA
DAMAP	-29.81111	-67.11111	W3-Z119
DAMBA	-39.44861	-68.81889	W26
DAMIN	-38.78917	-63.33056	W32-UW32-SID BCA-STAR BCA-TMA BCA
DAMIS	-28.86056	-58.94917	A428-W14-UW14-UL793-Z110-STAR CRR SIS
