ACB			CORONEL BOGADO / AGROSERVICIOS	Coronel Bogado	SANTA FÉ	AD	PRIVADO	NC		44	-33.2723	-60.5707
ACH	SAEA		GENERAL ACHA	General Acha	LA PAMPA	AD	PUBLICO	NC	OK	277	-37.4016	-64.6135
ACM			ARRECIFES / LA CURA MALAL	Arrecifes	BUENOS AIRES	AD	PRIVADO	NC	OK	37	-34.0757	-60.1417
ADN			LA BANDA / ALAS DEL NORTE		SANTIAGO DEL ESTERO	AD		NC			-27.6893	-64.1679
ADO	SAWD	PUD	PUERTO DESEADO	Puerto Deseado	SANTA CRUZ	AD	PUBLICO	NC	OK	82	-47.7351	-65.9041
ADT			BANDERA / AGROSERVICIO D.ª TERESA	Bandera	SANTIAGO DEL ESTERO	AD	PRIVADO	NC	OK	75	-28.8554	-62.2646
ADU			BANDERA / DUTTO	Bandera	SANTIAGO DEL ESTERO	AD	PRIVADO	NC	OK	87	-28.8669	-62.2381
AER	SABE	AEP	BUENOS AIRES / AEROPARQUE J. NEWBERY	Ciudad de Buenos Aires	CIUDAD AUTÓNOMA DE BUENOS AIRES	AD	PUBLICO	C	OK	5	-34.5589	-58.4164
AGI	SAVA		PIEDRA DEL ÁGUILA	Piedra del Águila	NEUQUÉN	AD	PRIVADO	NC	OK	649	-40.1923	-70.0108
AGR			ALTA GRACIA / COMANDANTE EDMUNDO OSVALDO WEISS	Alta Gracia	CÓRDOBA	AD	PUBLICO	NC	OK	533	-31.6511	-64.3939
AII			CHACABUCO / LAS 2 A	Chacabuco	BUENOS AIRES	AD	PRIVADO	NC	OK	60	-34.8112	-60.5166
ALC			AMEGHINO / LA CHACRA	Florentino Ameghino	BUENOS AIRES	AD	PRIVADO	NC	OK	109	-34.8094	-62.5229
ALL			AEROCLUB ALLEN	Allen	RÍO NEGRO	AD	PRIVADO	NC	OK	290	-38.9583	-67.8028
ALR			AEROCLUB ﻿ALEJANDRO ROCA	Alejandro Roca	CÓRDOBA	AD	PRIVADO	NC	OK	210	-33.3486	-63.73
ALT			CRUZ ALTA	Cruz Alta	CÓRDOBA	AD	PUBLICO	NC	OK	97	-33.0078	-61.8369
ALV			ALVEAR / AGROALVEAR S.R.L.	Alvear	SANTA FÉ	AD	PRIVADO	NC		32	-33.0685	-60.6668
AMA			ROBERTS / LA AMALIA	Roberts	BUENOS AIRES	AD	PRIVADO	NC	SIN IDENTIFICACION VISUAL	100	-35.1004	-62.0166
AME			AMEGHINO / SIGFRIDO ROHR AVIAGRO S.R.L.	Florentino Ameghino	BUENOS AIRES	AD	PRIVADO	NC	SIN IDENTIFICACION VISUAL	110	-34.8306	-62.4679
AMG			AMEGHINO	Florentino Ameghino	BUENOS AIRES	AD	PRIVADO	NC	OK	110	-34.8454	-62.4827
ANA			PARANÁ / AEROCLUB	La Picada	ENTRE RÍOS	AD	PUBLICO	NC	OK	60	-31.7578	-60.3739
AND			ANDALGALÁ	Andalgalá	CATAMARCA	AD	PRIVADO	NC	OK	900	-27.6281	-66.3428
APO			APÓSTOLES	Apóstoles	MISIONES	AD	PRIVADO	NC	OK	117	-27.9033	-55.7656
ARB			ARRIBEÑOS	Arribeños	BUENOS AIRES	AD	PUBLICO	NC	OK	82	-34.2219	-61.3867
ARS	SAVR	ARR	ALTO RÍO SENGUER / D.C. SZLAPELIS	Alto Río Senguerr	CHUBUT	AD	PUBLICO	NC	OK	697	-45.0132	-70.8128
ARY			ARROYITO / ARCOR	Arroyito	CÓRDOBA	AD	PUBLICO	NC	OK	148	-31.4222	-63.005
ATE			ZÁRATE	Zárate	BUENOS AIRES	AD	PUBLICO	NC	OK	26	-34.1183	-59.0827
ATN			TRENQUE LAUQUEN / LA ARGENTINA	Trenque Lauquen	BUENOS AIRES	AD	PRIVADO	NC	OK	95	-35.9977	-62.7064
AUL			AMEGHINO / AEROCLUB	Florentino Ameghino	BUENOS AIRES	AD	PRIVADO	NC	OK	109	-34.818	-62.4771
AVA			ALVEAR / AEROPARQUE ROSARIO	Alvear	SANTA FÉ	AD	PUBLICO	NC	OK	26	-33.0469	-60.5976
AVL			AVELLANEDA / PTE. AVELLANEDA	Avellaneda	SANTA FÉ	AD	PUBLICO	NC	OK	45	-29.1061	-59.6575
AYA			AYACUCHO	Ayacucho	BUENOS AIRES	AD	PUBLICO	NC	OK	77	-37.1625	-58.4731
BAD			BERÓN DE ASTRADA / DINALUCA S.A.	Berón de Astrada	CORRIENTES	AD	PRIVADO	NC	OK	67	-27.3828	-57.6442
BAI			LAGO BUENOS AIRES	Perito Moreno	SANTA CRUZ	AD	PRIVADO	NC	OK	387	-46.5761	-70.9481
BAL			BALCARCE	Balcarce	BUENOS AIRES	AD	PUBLICO	NC	OK	120	-37.9153	-58.3436
BAR	SAZS	BRC	SAN CARLOS DE BARILOCHE	San Carlos de Bariloche	RÍO NEGRO	AD	PUBLICO	C	OK	846	-41.1511	-71.1578
BAS			BASAVILBASO	Basavilbaso	ENTRE RÍOS	AD	PUBLICO	NC	SIN IDENTIFICACION VISUAL	60	-32.3616	-58.8816
BCA	SAZB	BHI	BAHÍA BLANCA / CTE. ESPORA	Bahía Blanca	BUENOS AIRES	AD	PUBLICO	C	OK	75	-38.7275	-62.1533
BDO			BARADERO	Baradero	BUENOS AIRES	AD	PUBLICO	NC	OK	29	-33.8212	-59.4928
BDR			BAHÍA DORADA	Sierra Grande	RÍO NEGRO	AD	PRIVADO	NC	SIN IDENTIFICACION VISUAL	36	-41.8428	-65.0822
BEL			BELL VILLE	Bell Ville	CÓRDOBA	AD	PUBLICO	NC	OK	131	-32.6583	-62.7019
BEX			BARADERO / BUENOS AIRES	Pueblo Alsina	BUENOS AIRES	AD	PRIVADO	NC	OK	26	-33.8586	-59.4691
BGI			BERAZATEGUI / ALAS DE MALVINAS	Ezpeleta	BUENOS AIRES	AD	PUBLICO	NC	OK	3	-34.7464	-58.2033
BHB			BAHÍA BLANCA / AEROCLUB	Bahía Blanca	BUENOS AIRES	AD	PRIVADO	NC	OK	15	-38.6719	-62.3525
BHT			BRAGADO / HARAS TRELLIRIS	Bragado	BUENOS AIRES	AD	PRIVADO	NC	CERRADO	60	-35.3315	-60.5788
BIO	SAWT	RYO	EL TURBIO / 28 DE NOVIEMBRE	El Turbio	SANTA CRUZ	AD	PUBLICO	NC	OK	273	-51.605	-72.2203
BLA			BALCARCE / EA. LA ALBORADA	Balcarce	BUENOS AIRES	AD	PRIVADO	NC	OK	64	-37.4628	-58.1883
BLC			BALCARCE / EST. LOS CARDOS	Balcarce	BUENOS AIRES	AD	PRIVADO	NC	OK	120	-37.7353	-58.0382
BLE			BALCARCE / EA. LA ESTRELLA	Balcarce	BUENOS AIRES	AD	PRIVADO	NC	OK	139	-37.5594	-58.6661
BLL			MIRAMAR / LAS CORTADERAS	Mechongue	BUENOS AIRES	AD	PRIVADO	NC	OK	16	-38.3547	-58.1086
BLN			LONDRES / BELÉN	Belén	CATAMARCA	AD	PRIVADO	NC	OK	1200	-27.7081	-67.095
BLO			BELL VILLE / LA OLGUITA		CÓRDOBA	AD		NC			-32.493	-62.6479
BLR	SAZI		BOLÍVAR	San Carlos de Bolivar	BUENOS AIRES	AD	PUBLICO	NC	OK	94	-36.1867	-61.0758
BMO			BRAGADO / MALFATO	Bragado	BUENOS AIRES	AD	PRIVADO	NC	OK	57	-35.1517	-60.5056
BOG			CORONEL BOGADO / FUMIGACIONES CAMPAGNUCCI	Coronel Bogado	SANTA FÉ	AD	PRIVADO	NC	OK	48	-33.324	-60.6662
BOL	SAVB	EHL	EL BOLSÓN	El Bolsón	RÍO NEGRO	AD	PUBLICO	NC	DESPLAZADO	348	-41.9432	-71.5322
BOM			BOMBAL / GRAN ANCONA	Bombal	SANTA FÉ	AD	PRIVADO	NC	OK	97	-33.4385	-61.3032
BOS			LOBOS	Lobos	BUENOS AIRES	AD	PUBLICO	NC	OK	29	-35.2108	-59.1367
BPS			BRINKMANN / PABLO SIERRA AEROAPLICACIONES	Brinckmann	CÓRDOBA	AD	PRIVADO	NC	OK	100	-30.9294	-62.0506
BRA			BRAGADO	Bragado	BUENOS AIRES	AD	PUBLICO	NC	OK	60	-35.1453	-60.4819
BRF			BAHÍA BLANCA / LA REFORMA	Bahía Blanca	BUENOS AIRES	AD	PRIVADO	NC	OK	67	-38.7305	-63.2872
BRQ			BUTA RANQUIL / EL PORTÓN	Buta Ranquil	NEUQUÉN	AD	PRIVADO	NC	OK	870	-37.195	-69.6097
BTA			BELLA VISTA (CORRIENTES)	Bella Vista	CORRIENTES	AD	PUBLICO	NC	OK	55	-28.5261	-59.0381
BTS			CORRAL DE BUSTOS	Corral de Bustos	CÓRDOBA	AD	PRIVADO	NC	OK	120	-33.2814	-62.1514
CAF			CAFAYATE	Cafayate	SALTA	AD	PRIVADO	NC	OK	1639	-26.0642	-65.9306
CAL			CAMPO ARENAL	Santa María	CATAMARCA	AD	PRIVADO	NC	OK	2324	-27.0722	-66.5864
CAM			CORRALITO / ALFONSO MENGO – (CAM) - DRNO - PRIVADO NO CONTROLADO [** USO AGROAÉREO **]	Corralito	CÓRDOBA	AD	PRIVADO	NC		545	-32.0244	-64.2794
CAT	SANC	CTC	CATAMARCA	San Fernando del Valle de Catamarca	CATAMARCA	AD	PUBLICO	C	OK	464	-28.5931	-65.7511
CAY			SAN CAYETANO	San Cayetano	BUENOS AIRES	AD	PRIVADO	NC	OK	100	-38.3339	-59.6303
