ADO	NDB	Puerto Deseado	-47.7333	-65.9094	210	-7.2	modelo
ARS	NDB	Alto Rio Senguerr	-45.0164	-70.8011	310	-9.5	modelo
BAR	VOR-DME	San Carlos De Bariloche	-41.1403	-71.1889	117400	-8	slaved
BCA	VOR-DME	Bahia Blanca	-38.7200	-62.1583	114300	0	slaved
BIO	NDB	El Turbio	-51.6100	-72.2214	205	-14.2	modelo
CAT	VOR-DME	Catamarca	-28.5836	-65.7467	114300	1	slaved
CBA	VOR-DME	Cordoba	-31.3133	-64.2036	114500	2	slaved
CHP	VOR-DME	San Martin De Los Andes	-40.0489	-71.0953	117000	-8	slaved
CRR	VOR-DME	Corrientes	-27.4372	-58.7617	115400	10.1	modelo
CRV	VOR-DME	Comodoro Rivadavia	-45.7733	-67.3717	117500	-8	slaved
DIA	NDB	Concordia	-31.3017	-58.0042	335	9.1	modelo
DIL	VOR-DME	Tandil	-37.2250	-59.2294	115900	3	slaved
DOZ	VOR-DME	Mendoza	-32.8319	-68.7908	114900	-3	slaved
ECA	VOR-DME	El Calafate	-50.2783	-72.0456	114700	-13.3	modelo
ENO	VOR-DME	Mariano Moreno	-34.5628	-58.7906	112900	5	slaved
EPO	NDB	Comandante Espora	-38.7339	-62.1628	370	1.2	modelo
ERE	VOR-DME	Ceres	-29.8644	-61.8722	115500	5	slaved
ESQ	VOR-DME	Esquel	-42.8872	-71.1003	117800	-10	slaved
EZE	VOR-DME	Ezeiza	-34.8242	-58.5353	116500	4	slaved
FDO	VOR-DME	San Fernando	-34.4514	-58.5842	114400	5	slaved
FSA	VOR-DME	Formosa	-26.2103	-58.2247	115600	9	slaved
GAL	VOR-DME	Rio Gallegos	-51.6110	-69.3302	116700	-13	slaved
GBE	VOR	General Belgrano	-35.7511	-58.4639	115600	4	slaved
GES	NDB	Villa Gesell	-37.2347	-57.0239	242	6.5	modelo
GNR	NDB	General Roca	-38.9831	-67.6011	275	-3.5	modelo
GPI	VOR	General Pico	-35.6928	-63.7508	112200	0	slaved
GRA	VOR-DME	Rio Grande	-53.7753	-67.7458	117300	-12	slaved
GRE	NDB	Gobernador Gregores	-48.7831	-70.1614	360	-11.2	modelo
GUA	VOR-DME	Gualeguaychu	-33.0097	-58.6142	113200	6	slaved
H	NDB	Cordoba	-31.2861	-64.2074	262	3.3	modelo
IGU	VOR-DME	Cataratas Del Iguazu	-25.7345	-54.4857	114100	12	slaved
ILM	NDB	Quilmes	-34.7108	-58.2403	210	7.1	modelo
ITA	VOR	Las Lomitas	-24.7361	-60.5439	112200	8	slaved
ITO	VOR	Chilecito	-29.2111	-67.4425	116500	1.3	modelo
JSM	NDB	Jose De San Martin	-44.0581	-70.4344	250	-9	modelo
JUA	VOR-DME	San Juan	-31.5639	-68.4214	113100	-2	slaved
JUJ	VOR-DME	Jujuy	-24.3936	-65.0928	112900	4	slaved
LAR	VOR	La Rioja	-29.3886	-66.8036	113500	0	slaved
LDR	NDB	Villa Dolores	-31.9528	-65.1425	310	2.2	modelo
LIB	NDB	Paso De Los Libres	-29.6947	-57.1481	250	10.4	modelo
LYE	VOR	Laboulaye	-34.1411	-63.3625	116300	1	slaved
