SAAC	4	22	28	5249	ASP
SAAG	1	19	1	4364	ASP
SAAN	13	31	133.3	2854	GRE
SAAN	4	22	44	3937	ASP
SAAP	1	19	8.4	6890	ASP
SAAR	02	20	10	9842	CON
SAAV	3	21	24	7628	ASP
SABE	13	31	124	7710	PEM
SACA	16	34	158.7	4232	ASP
SACO	01	19	358	10499	CON
SACO	05	23	43	7218	ASP
SADF	5	23	44	5909	ASP
SADL	2	20	13.9	4682	ASP
SADM	02	20	13	9350	ASP
SADO	18	36	176.9	5905	ASP
SADP	17	35	165.3	6923	CON
SAET	2	20	21	3934	ASP
SAEZ	11	29	102.3	10827	ASP
SAEZ	17	35	164	10187	ASP
SAFR	01L	19R	11	3632	GRE
SAFR	01R	19L	11	3691	CON
SAFR	6	24	54	3606	GRE
SAHC	12	30	125	4921	ASP
SAHR	9	27	94.3	7073	ASP
SAHS	10	28	102.2	4921	ASP
SAHZ	9	27	98.3	7218	ASP
SAME	18	36	181	9301	CON
SAMM	14	32	144.5	8694	ASP
SAMM	9	27	96.3	4757	ASP
SAMR	11	29	108	6923	ASP
SANC	02	20	18	9186	ASP
SANE	3	21	27.7	7946	ASP
SANL	3	21	28	9383	ASP
SANO	17	35	173	6890	ASP
SANR	01	19	8	8232	ASPHALT
SANT	02	20	10	11483	CON
SANU	18	36	179.6	8071	ASP
SAOC	05	23	178	7431	ASP
SAOD	17	35	176	4593	ASP
SAOL	16	34	155	8769	ASP
SAOM	7	25	68.8	3937	ASP
SAOR	10	28	101	7874	ASP
SAOR	6	24	58.4	7874	ASP
SAOS	2	20	14.1	8366	CON
SAOU	19	01	187	9678	ASP
SARC	2	20	8	6890	CON
SARE	3	21	20.9	9088	ASP
SARF	4	22	25	5905	ASP
SARI	13	31	114.8	10827	ASP
SARL	18	36	171	7415	ASP
SARM	18	36	173	4068	GRE
SARM	18L	36R	173	4323	GRE
SARP	02	20	359	7388	ASP
SARS	03	21	30	5905	Concrete
SASA	02	20	11	9842	ASP
SASA	06	24	52	7874	ASP
SASJ	16	34	149	9698	ASP
SASO	1	19	10	4839	ASP
SASQ	16	34	154	8858	ASP
SAST	02	20	7	4921	ASP
SATD	1	19	357	4695	ASP
SATG	4	22	38	7415	ASP
SATO	17	35	161.3	5905	ASP
SATR	02	20	7	4101	CON
SATR	10	28	89.6	9186	CON
SATU	01	19	1	7054	ASP
SAVB	18	36	189	4265	ASP
SAVC	7	25	79	9219	CON
SAVE	5	23	57	7874	ASP
SAVE	8	26	90.2	3937	GRE
SAVH	9	27	95	4593	ASP
SAVJ	7	25	80	6890	ASP
SAVM	09	27	109	3219	GRE
SAVN	12	30	125.3	5905	ASP
SAVT	07	25	69	8399	CON
SAVV	10	28	105.6	8366	ASP
SAVV	2	20	25.7	4954	ASP
SAVY	5	23	58	8202	ASP
SAWB	06	24	72	4134	GRE
SAWC	7	25	84.6	8366	CON
SAWD	6	24	65	4921	ASP
SAWE	7	25	87.5	6562	ASP
SAWG	7	25	86	11644	CON
SAWH	7	25	86.2	9186	CON
SAWJ	07	25	79	6562	CON
SAWP	07	25	87.3	2790	GRE
SAWP	10	28	111.8	5577	ASP
SAWP	11	29	127.1	4405	GRE
SAWT	06	24	71	6340	ASP
SAWU	07	25	77.9	6561	ASP
SAZB	06	24	61	6496	ASP
SAZB	17L	35R	164	7907	ASP
SAZB	17R	35L	164	4915	ASP
SAZC	17	35	169.6	4265	ASP
SAZF	04	22	42	7218	ASP
SAZF	13	31	125	3478	GRE
SAZG	03	21	32.1	2789	GRE
SAZG	16	34	160	7710	ASP
SAZH	14	32	134	2953	GRE
SAZH	18	36	175	3934	ASP
SAZH	4	22	43	2461	GRE
SAZI	14	32	133.9	3689	GRE
SAZI	2	20	15	3937	ASP
SAZL	17	35	170	4921	ASP
SAZM	13	31	123	7218	ASP
SAZN	9	27	90.2	8432	ASP
SAZO	13	31	130	2621	GRE
SAZO	17	35	175	3609	GRE
SAZO	18	36	183	4921	ASP
SAZP	18	36	180	4921	ASP
SAZR	1	19	11.2	7546	ASP
SAZS	11	29	115	7703	ASP
SAZT	1	19	5	8366	CON
SAZV	11	29	102	5220	ASP
SAZW	3	21	39.4	4052	ASP
SAZW	7	25	83.3	5558	ASP
SAZY	06	24	68	8205	ASP
